,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
44,1988-02-14,5.71888099808769,-12.027847545086445,-0.6032285136532168,5.71888099808769,5.71888099808769,-12.074635798543525,-12.074635798543525,-12.074635798543525,0.20665935131316338,0.20665935131316338,0.20665935131316338,-12.281295149856689,-12.281295149856689,-12.281295149856689,0.0,0.0,0.0,-6.355754800455835
45,1988-02-15,5.720648959310627,-12.972060524151724,-1.0565818413826218,5.720648959310627,5.720648959310627,-12.706616309960626,-12.706616309960626,-12.706616309960626,-0.24544953647663587,-0.24544953647663587,-0.24544953647663587,-12.461166773483988,-12.461166773483988,-12.461166773483988,0.0,0.0,0.0,-6.985967350649999
46,1988-02-16,5.722416920419413,-12.679202102565288,-0.7419288632435314,5.722416920419413,5.722416920419413,-12.585414636600737,-12.585414636600737,-12.585414636600737,0.053359661159444696,0.053359661159444696,0.053359661159444696,-12.63877429776018,-12.63877429776018,-12.63877429776018,0.0,0.0,0.0,-6.862997716181324
47,1988-02-17,5.724184881528198,-13.698019177070405,-1.2803587103559728,5.724184881528198,5.724184881528198,-12.826155178503749,-12.826155178503749,-12.826155178503749,-0.014807118264201839,-0.014807118264201839,-0.014807118264201839,-12.811348060239547,-12.811348060239547,-12.811348060239547,0.0,0.0,0.0,-7.1019702969755505
48,1988-02-18,5.725952842636984,-13.363726716638801,-1.69566329529117,5.725952842636984,5.725952842636984,-13.084703138382345,-13.084703138382345,-13.084703138382345,-0.10871997537576387,-0.10871997537576387,-0.10871997537576387,-12.975983163006582,-12.975983163006582,-12.975983163006582,0.0,0.0,0.0,-7.358750295745361
49,1988-02-19,5.72772080374577,-12.960336172752587,-1.519956955164694,5.72772080374577,5.72772080374577,-13.032895781795457,-13.032895781795457,-13.032895781795457,0.09679060215931522,0.09679060215931522,0.09679060215931522,-13.129686383954772,-13.129686383954772,-13.129686383954772,0.0,0.0,0.0,-7.305174978049687
50,1988-02-20,5.729488764854556,-13.19258407534797,-1.6992817314025754,5.729488764854556,5.729488764854556,-13.257260570930418,-13.257260570930418,-13.257260570930418,0.012167015484424068,0.012167015484424068,0.012167015484424068,-13.269427586414842,-13.269427586414842,-13.269427586414842,0.0,0.0,0.0,-7.5277718060758625
51,1988-02-21,5.731256725963341,-13.273183790752116,-1.327310753269613,5.731256725963341,5.731256725963341,-13.18553514047445,-13.18553514047445,-13.18553514047445,0.20665935131322907,0.20665935131322907,0.20665935131322907,-13.392194491787677,-13.392194491787677,-13.392194491787677,0.0,0.0,0.0,-7.4542784145111085
52,1988-02-22,5.733024687072127,-14.236429148916274,-1.6368213387682533,5.733024687072127,5.733024687072127,-13.740499102626526,-13.740499102626526,-13.740499102626526,-0.2454495364768108,-0.2454495364768108,-0.2454495364768108,-13.495049566149715,-13.495049566149715,-13.495049566149715,0.0,0.0,0.0,-8.007474415554398
53,1988-02-23,5.734792648180912,-13.551509203054804,-1.6773047529069036,5.734792648180912,5.734792648180912,-13.521828029106237,-13.521828029106237,-13.521828029106237,0.05335966115920599,0.05335966115920599,0.05335966115920599,-13.575187690265443,-13.575187690265443,-13.575187690265443,0.0,0.0,0.0,-7.7870353809253245
54,1988-02-24,5.736560609289698,-13.546646791398114,-1.1488602266881849,5.736560609289698,5.736560609289698,-13.644800353704568,-13.644800353704568,-13.644800353704568,-0.014807118263987387,-0.014807118263987387,-0.014807118263987387,-13.62999323544058,-13.62999323544058,-13.62999323544058,0.0,0.0,0.0,-7.90823974441487
55,1988-02-25,5.738328570398484,-13.85784627726437,-2.5845495368255427,5.738328570398484,5.738328570398484,-13.765815132049228,-13.765815132049228,-13.765815132049228,-0.10871997537539904,-0.10871997537539904,-0.10871997537539904,-13.65709515667383,-13.65709515667383,-13.65709515667383,0.0,0.0,0.0,-8.027486561650743
