,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-06-01,503.13626778113127,247.5258965844989,3136.7092442506496,503.13626778113127,503.13626778113127,1122.7544776385364,1122.7544776385364,1122.7544776385364,179.01057401147585,179.01057401147585,179.01057401147585,943.7439036270606,943.7439036270606,943.7439036270606,0.0,0.0,0.0,1625.8907454196676
1,2018-06-02,503.70184570041937,-346.20536891649533,2554.677532327515,503.70184570041937,503.70184570041937,573.5387347081603,573.5387347081603,573.5387347081603,-289.74026083379505,-289.74026083379505,-289.74026083379505,863.2789955419553,863.2789955419553,863.2789955419553,0.0,0.0,0.0,1077.2405804085797
2,2018-06-03,504.2674236197076,-397.55498349452233,2421.9775601447054,504.2674236197076,504.2674236197076,475.6765598324947,475.6765598324947,475.6765598324947,-299.2938925548383,-299.2938925548383,-299.2938925548383,774.970452387333,774.970452387333,774.970452387333,0.0,0.0,0.0,979.9439834522022
3,2018-06-04,504.8330015389957,-223.66450396034543,2560.2751824598326,504.8330015389957,504.8330015389957,634.2408391631126,634.2408391631126,634.2408391631126,-46.534051286203166,-46.534051286203166,-46.534051286203166,680.7748904493156,680.7748904493156,680.7748904493156,0.0,0.0,0.0,1139.0738407021083
4,2018-06-05,505.3985794582839,-206.41986337969934,2626.52579515888,505.3985794582839,505.3985794582839,652.8369986372343,652.8369986372343,652.8369986372343,70.08138268570744,70.08138268570744,70.08138268570744,582.7556159515268,582.7556159515268,582.7556159515268,0.0,0.0,0.0,1158.2355780955181
5,2018-06-06,505.964157377572,-339.64233509478765,2510.132218544351,505.964157377572,505.964157377572,615.568054504524,615.568054504524,615.568054504524,132.53806011947287,132.53806011947287,132.53806011947287,483.02999438505105,483.02999438505105,483.02999438505105,0.0,0.0,0.0,1121.532211882096
6,2018-06-07,506.5297352968602,-264.3678687523122,2602.041447401225,506.5297352968602,506.5297352968602,637.6540621057981,637.6540621057981,637.6540621057981,253.9381878584364,253.9381878584364,253.9381878584364,383.7158742473617,383.7158742473617,383.7158742473617,0.0,0.0,0.0,1144.1837974026582
7,2018-06-08,507.0953132161483,-460.2457972651027,2384.280556215896,507.0953132161483,507.0953132161483,465.8890852057575,465.8890852057575,465.8890852057575,179.01057401191994,179.01057401191994,179.01057401191994,286.8785111938376,286.8785111938376,286.8785111938376,0.0,0.0,0.0,972.9843984219058
8,2018-06-09,507.6608911354365,-1019.7852635965144,1851.891716064894,507.6608911354365,507.6608911354365,-95.26084622178406,-95.26084622178406,-95.26084622178406,-289.74026083401856,-289.74026083401856,-289.74026083401856,194.47941461223448,194.47941461223448,194.47941461223448,0.0,0.0,0.0,412.40004491365244
9,2018-06-10,508.2264690547247,-1156.7383593234001,1826.4203151274594,508.2264690547247,508.2264690547247,-190.9654174031688,-190.9654174031688,-190.9654174031688,-299.29389255487376,-299.29389255487376,-299.29389255487376,108.32847515170494,108.32847515170494,108.32847515170494,0.0,0.0,0.0,317.26105165155593
