,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-06-01,503.13626778113127,201.90060405798334,3090.6537870182433,503.13626778113127,503.13626778113127,1122.7544776385364,1122.7544776385364,1122.7544776385364,179.01057401147585,179.01057401147585,179.01057401147585,943.7439036270606,943.7439036270606,943.7439036270606,0.0,0.0,0.0,1625.8907454196676
1,2018-06-02,503.70184570041937,-368.2175710080119,2597.5750370731203,503.70184570041937,503.70184570041937,573.5387347081603,573.5387347081603,573.5387347081603,-289.74026083379505,-289.74026083379505,-289.74026083379505,863.2789955419553,863.2789955419553,863.2789955419553,0.0,0.0,0.0,1077.2405804085797
2,2018-06-03,504.2674236197076,-406.7663206809533,2405.0107265617735,504.2674236197076,504.2674236197076,475.6765598324947,475.6765598324947,475.6765598324947,-299.2938925548383,-299.2938925548383,-299.2938925548383,774.970452387333,774.970452387333,774.970452387333,0.0,0.0,0.0,979.9439834522022
3,2018-06-04,504.8330015389957,-286.9674714675775,2597.8723880145017,504.8330015389957,504.8330015389957,634.2408391631126,634.2408391631126,634.2408391631126,-46.534051286203166,-46.534051286203166,-46.534051286203166,680.7748904493156,680.7748904493156,680.7748904493156,0.0,0.0,0.0,1139.0738407021083
4,2018-06-05,505.3985794582839,-380.9843336922427,2554.7308668164246,505.39857945828396,505.39857945828396,652.8369986372343,652.8369986372343,652.8369986372343,70.08138268570744,70.08138268570744,70.08138268570744,582.7556159515268,582.7556159515268,582.7556159515268,0.0,0.0,0.0,1158.2355780955181
5,2018-06-06,505.964157377572,-426.81937909297255,2459.7821805169115,505.964157377572,505.964157377572,615.568054504524,615.568054504524,615.568054504524,132.53806011947287,132.53806011947287,132.53806011947287,483.02999438505105,483.02999438505105,483.02999438505105,0.0,0.0,0.0,1121.532211882096
6,2018-06-07,506.5297352968602,-284.2002666571679,2567.7406650388184,506.5297352968602,506.5297352968602,637.6540621057981,637.6540621057981,637.6540621057981,253.9381878584364,253.9381878584364,253.9381878584364,383.7158742473617,383.7158742473617,383.7158742473617,0.0,0.0,0.0,1144.1837974026582
7,2018-06-08,507.0953132161483,-468.903311668973,2384.2149939696724,507.0953132161483,507.0953132161483,465.8890852057575,465.8890852057575,465.8890852057575,179.01057401191994,179.01057401191994,179.01057401191994,286.8785111938376,286.8785111938376,286.8785111938376,0.0,0.0,0.0,972.9843984219058
8,2018-06-09,507.6608911354365,-1002.149640485958,1899.8651085018596,507.6608911354365,507.6608911354365,-95.26084622178406,-95.26084622178406,-95.26084622178406,-289.74026083401856,-289.74026083401856,-289.74026083401856,194.47941461223448,194.47941461223448,194.47941461223448,0.0,0.0,0.0,412.40004491365244
9,2018-06-10,508.2264690547247,-1143.0019265554047,1708.977977207621,508.2264690547247,508.2264690547247,-190.9654174031688,-190.9654174031688,-190.9654174031688,-299.29389255487376,-299.29389255487376,-299.29389255487376,108.32847515170494,108.32847515170494,108.32847515170494,0.0,0.0,0.0,317.26105165155593
10,2018-06-11,508.7920469740128,-862.8822429974953,1978.7046117434757,508.7920469740128,508.7920469740128,-16.4934205469394,-16.4934205469394,-16.4934205469394,-46.53405128617564,-46.53405128617564,-46.53405128617564,30.04063073923624,30.04063073923624,30.04063073923624,0.0,0.0,0.0,492.29862642707343
11,2018-06-12,509.357624893301,-945.0798971833882,2018.7011533533653,509.357624893301,509.357624893301,31.079575905788154,31.079575905788154,31.079575905788154,70.08138268545028,70.08138268545028,70.08138268545028,-39.00180677966213,-39.00180677966213,-39.00180677966213,0.0,0.0,0.0,540.4372007990892
12,2018-06-13,509.9232028125891,-1031.3292272976475,2086.0062575017255,509.9232028125891,509.9232028125891,34.857852098629394,34.857852098629394,34.857852098629394,132.53806011916217,132.53806011916217,132.53806011916217,-97.68020802053276,-97.68020802053276,-97.68020802053276,0.0,0.0,0.0,544.7810549112185
13,2018-06-14,510.48878073187734,-856.7062675771965,2000.2924947222637,510.48878073187734,510.48878073187734,108.77488750143235,108.77488750143235,108.77488750143235,253.93818785848097,253.93818785848097,253.93818785848097,-145.1633003570486,-145.1633003570486,-145.1633003570486,0.0,0.0,0.0,619.2636682333097
14,2018-06-15,511.05435865116544,-983.3205837472451,2015.5864454833095,511.05435865116544,511.05435865116544,-1.912332162299591,-1.912332162299591,-1.912332162299591,179.01057401166145,179.01057401166145,179.01057401166145,-180.92290617396102,-180.92290617396102,-180.92290617396102,0.0,0.0,0.0,509.14202648886584
15,2018-06-16,511.61993657045366,-1523.1108116287992,1434.7696403774007,511.61993657045366,511.61993657045366,-494.48167683819554,-494.48167683819554,-494.48167683819554,-289.74026083424206,-289.74026083424206,-289.74026083424206,-204.74141600395356,-204.74141600395356,-204.74141600395356,0.0,0.0,0.0,17.13825973225812
16,2018-06-17,512.1855144897418,-1394.4873976155757,1329.9645511886808,512.1855144897418,512.1855144897418,-516.0047922026672,-516.0047922026672,-516.0047922026672,-299.29389255460853,-299.29389255460853,-299.29389255460853,-216.7108996480587,-216.7108996480587,-216.7108996480587,0.0,0.0,0.0,-3.819277712925441
17,2018-06-18,512.7510924090299,-1216.9306155658771,1742.8992859588973,512.7510924090299,512.7510924090299,-263.758042434056,-263.758042434056,-263.758042434056,-46.53405128624942,-46.53405128624942,-46.53405128624942,-217.22399114780654,-217.22399114780654,-217.22399114780654,0.0,0.0,0.0,248.99304997497387
